categorie,parametre,valeur,univers,horizon_j,n_obs,n_dates,mean_fwd_pct,mean_base_pct,mean_excess_pct,t_absolu,t_excess,hit_rate,hit_rate_base,edge_hit_pts,status
longueur_tendance_short,n_sma,150,SPX,20,423,423,0.3123,0.6024,-0.2901,0.79,-0.73,57.45,60.34,-2.89,ok
longueur_tendance_long,n_sma,150,BTC,5,224,224,1.8909,1.2904,0.6005,2.26,0.72,59.82,54.84,4.98,ok
longueur_tendance_long,n_sma,150,BTC,20,224,224,4.4066,5.6943,-1.2877,1.77,-0.52,58.48,56.23,2.25,ok
longueur_tendance_short,n_sma,150,BTC,5,209,209,1.0976,1.2904,-0.1928,1.29,-0.23,51.67,54.84,-3.17,ok
longueur_tendance_short,n_sma,150,BTC,20,209,209,1.4347,5.6943,-4.2596,0.55,-1.63,47.37,56.23,-8.86,ok
longueur_tendance_long,n_sma,200,US500,5,32695,1025,0.2529,0.2755,0.041,2.22,0.72,57.38,54.74,2.64,ok
longueur_tendance_long,n_sma,200,US500,20,32451,1010,1.0935,1.1413,0.1899,2.97,1.05,61.13,58.25,2.88,ok
longueur_tendance_short,n_sma,200,US500,5,19698,1034,0.0269,0.2755,-0.1915,0.23,-2.4,52.47,54.74,-2.27,ok
longueur_tendance_short,n_sma,200,US500,20,19489,1019,0.3478,1.1413,-0.5805,0.84,-2.4,54.81,58.25,-3.44,ok
longueur_tendance_long,n_sma,200,SPX,5,896,896,0.4167,0.1496,0.2671,3.49,2.24,60.27,55.83,4.44,ok
longueur_tendance_long,n_sma,200,SPX,20,896,896,1.4108,0.6024,0.8084,4.56,2.61,69.75,60.34,9.42,ok
longueur_tendance_short,n_sma,200,SPX,5,494,494,0.0072,0.1496,-0.1424,0.05,-0.99,54.05,55.83,-1.78,ok
longueur_tendance_short,n_sma,200,SPX,20,494,494,0.382,0.6024,-0.2204,0.86,-0.49,58.3,60.34,-2.04,ok
longueur_tendance_long,n_sma,200,BTC,5,261,261,1.2244,1.2904,-0.0659,1.35,-0.07,57.47,54.84,2.63,ok
longueur_tendance_long,n_sma,200,BTC,20,261,261,4.0976,5.6943,-1.5967,1.85,-0.72,58.62,56.23,2.39,ok
longueur_tendance_short,n_sma,200,BTC,5,243,243,0.5582,1.2904,-0.7322,0.64,-0.83,47.33,54.84,-7.52,ok
longueur_tendance_short,n_sma,200,BTC,20,243,243,0.4163,5.6943,-5.278,0.15,-1.9,44.44,56.23,-11.78,ok
longueur_tendance_long,n_sma,250,US500,5,34353,977,0.2911,0.2755,0.0724,2.44,1.2,58.05,54.74,3.31,ok
longueur_tendance_long,n_sma,250,US500,20,34086,962,1.1365,1.1413,0.2731,2.94,1.52,60.35,58.25,2.1,ok
longueur_tendance_short,n_sma,250,US500,5,20490,985,0.011,0.2755,-0.2188,0.09,-2.67,52.67,54.74,-2.07,ok
longueur_tendance_short,n_sma,250,US500,20,20226,970,0.3052,1.1413,-0.5939,0.68,-2.14,54.84,58.25,-3.41,ok
longueur_tendance_long,n_sma,250,SPX,5,1040,1040,0.3925,0.1496,0.2429,3.19,1.98,60.48,55.83,4.65,ok
longueur_tendance_long,n_sma,250,SPX,20,1040,1040,1.5413,0.6024,0.939,5.37,3.27,70.1,60.34,9.76,ok
longueur_tendance_short,n_sma,250,SPX,5,521,521,0.0398,0.1496,-0.1098,0.28,-0.77,54.7,55.83,-1.13,ok
longueur_tendance_short,n_sma,250,SPX,20,521,521,0.2616,0.6024,-0.3408,0.57,-0.74,56.05,60.34,-4.29,ok
longueur_tendance_long,n_sma,250,BTC,5,320,320,1.572,1.2904,0.2816,2.01,0.36,60.0,54.84,5.16,ok
longueur_tendance_long,n_sma,250,BTC,20,320,320,4.6423,5.6943,-1.052,2.51,-0.57,58.44,56.23,2.21,ok
longueur_tendance_short,n_sma,250,BTC,5,218,218,1.0901,1.2904,-0.2003,1.14,-0.21,50.92,54.84,-3.92,ok
