univers,condition,horizon_j,n_obs,n_dates,mean_fwd_pct,mean_base_pct,mean_excess_pct,t_absolu,t_excess,hit_rate,hit_rate_base,edge_hit_pts,status
SPX,T3 momentum 12-1 positif,5,10335,10335,0.1778,0.1496,0.0282,5.12,0.81,57.07,55.83,1.24,ok
SPX,T3 momentum 12-1 positif,10,10330,10330,0.3519,0.299,0.0529,5.34,0.8,59.38,57.95,1.43,ok
SPX,T3 momentum 12-1 positif,20,10320,10320,0.6981,0.6024,0.0957,5.5,0.75,61.93,60.34,1.59,ok
SPX,T4 SMA200 en pente positive,1,10289,10289,0.0384,0.0297,0.0087,4.47,1.02,53.88,52.69,1.19,ok
SPX,T4 SMA200 en pente positive,3,10289,10289,0.1159,0.0896,0.0264,5.42,1.23,56.44,55.09,1.35,ok
SPX,T4 SMA200 en pente positive,5,10289,10289,0.1947,0.1496,0.0451,5.7,1.32,57.62,55.83,1.79,ok
SPX,T4 SMA200 en pente positive,10,10289,10289,0.3875,0.299,0.0885,5.98,1.36,60.11,57.95,2.16,ok
SPX,T4 SMA200 en pente positive,20,10289,10289,0.7526,0.6024,0.1502,6.05,1.21,62.91,60.34,2.58,ok
SPX,R1 RSI2 < 10 (sans filtre),1,1838,1838,-0.0016,0.0297,-0.0313,-0.05,-1.01,51.31,52.69,-1.39,ok
SPX,R1 RSI2 < 10 (sans filtre),3,1836,1836,0.1596,0.0896,0.0701,2.71,1.19,54.68,55.09,-0.41,ok
SPX,R1 RSI2 < 10 (sans filtre),5,1834,1834,0.3144,0.1496,0.1648,3.52,1.84,55.13,55.83,-0.71,ok
SPX,R1 RSI2 < 10 (sans filtre),10,1833,1833,0.4852,0.299,0.1862,3.14,1.21,57.56,57.95,-0.39,ok
SPX,R1 RSI2 < 10 (sans filtre),20,1832,1832,0.8439,0.6024,0.2416,3.36,0.96,59.44,60.34,-0.89,ok
SPX,R2 3 cloture baissieres d'affilee,1,1599,1599,0.0113,0.0297,-0.0184,0.35,-0.57,52.66,52.69,-0.03,ok
SPX,R2 3 cloture baissieres d'affilee,3,1599,1599,0.1682,0.0896,0.0787,2.82,1.32,54.28,55.09,-0.81,ok
SPX,R2 3 cloture baissieres d'affilee,5,1598,1598,0.3055,0.1496,0.1559,3.4,1.74,54.76,55.83,-1.07,ok
SPX,R2 3 cloture baissieres d'affilee,10,1598,1598,0.4422,0.299,0.1432,2.78,0.9,57.2,57.95,-0.75,ok
SPX,R2 3 cloture baissieres d'affilee,20,1597,1597,0.7396,0.6024,0.1372,2.97,0.55,58.92,60.34,-1.41,ok
SPX,R3 z-score 20j < -1.5,1,1745,1745,0.0064,0.0297,-0.0233,0.19,-0.69,50.95,52.69,-1.75,ok
SPX,R3 z-score 20j < -1.5,3,1743,1743,0.1338,0.0896,0.0442,1.87,0.62,53.99,55.09,-1.1,ok
SPX,R3 z-score 20j < -1.5,5,1741,1741,0.3007,0.1496,0.1511,2.71,1.36,55.26,55.83,-0.58,ok
SPX,R3 z-score 20j < -1.5,10,1740,1740,0.4959,0.299,0.1969,2.69,1.07,58.45,57.95,0.5,ok
SPX,R3 z-score 20j < -1.5,20,1738,1738,0.9138,0.6024,0.3114,2.98,1.01,61.1,60.34,0.77,ok
SPX,P1 C>SMA200 & RSI2<10,1,939,939,0.0458,0.0297,0.0161,1.59,0.56,54.63,52.69,1.94,ok
SPX,P1 C>SMA200 & RSI2<10,3,939,939,0.2276,0.0896,0.138,3.7,2.25,57.61,55.09,2.52,ok
SPX,P1 C>SMA200 & RSI2<10,5,939,939,0.3134,0.1496,0.1638,3.1,1.62,58.47,55.83,2.64,ok
SPX,P1 C>SMA200 & RSI2<10,10,939,939,0.4571,0.299,0.158,2.5,0.86,59.96,57.95,2.01,ok
SPX,P1 C>SMA200 & RSI2<10,20,939,939,0.891,0.6024,0.2886,4.04,1.31,62.62,60.34,2.28,ok
SPX,P2 C>SMA200 & RSI2<5,1,467,467,0.094,0.0297,0.0643,2.19,1.5,55.25,52.69,2.55,ok
SPX,P2 C>SMA200 & RSI2<5,3,467,467,0.2397,0.0896,0.1501,2.58,1.61,57.39,55.09,2.3,ok
SPX,P2 C>SMA200 & RSI2<5,5,467,467,0.2114,0.1496,0.0618,1.33,0.39,56.96,55.83,1.13,ok
SPX,P2 C>SMA200 & RSI2<5,10,467,467,0.4147,0.299,0.1156,1.68,0.47,60.6,57.95,2.65,ok
SPX,P2 C>SMA200 & RSI2<5,20,467,467,0.8784,0.6024,0.276,3.49,1.1,63.38,60.34,3.05,ok
SPX,P3 C>SMA200 & ext_ATR20 < -1,1,896,896,0.0691,0.0297,0.0394,2.17,1.24,57.14,52.69,4.45,ok
SPX,P3 C>SMA200 & ext_ATR20 < -1,3,896,896,0.2817,0.0896,0.1922,3.64,2.49,59.15,55.09,4.06,ok
SPX,P3 C>SMA200 & ext_ATR20 < -1,5,896,896,0.4167,0.1496,0.2671,3.49,2.24,60.27,55.83,4.44,ok
SPX,P3 C>SMA200 & ext_ATR20 < -1,10,896,896,0.7653,0.299,0.4663,4.33,2.64,64.29,57.95,6.34,ok
SPX,P3 C>SMA200 & ext_ATR20 < -1,20,896,896,1.4108,0.6024,0.8084,4.56,2.61,69.75,60.34,9.42,ok
